Ref,Val,Package,PosX,PosY,Rot,Side
"D1","BAV70","SOT-23",38.100000,-27.781250,270.000000,bottom
"D2","BAV70","SOT-23",45.243750,-46.831250,270.000000,bottom
"D3","BAV70","SOT-23",49.212500,-65.881250,270.000000,bottom
"D4","BAV70","SOT-23",61.912500,-84.931250,270.000000,bottom
"D5","BAV70","SOT-23",42.862500,-103.981250,270.000000,bottom
"D6","BAV70","SOT-23",76.200000,-27.781250,270.000000,bottom
"D7","BAV70","SOT-23",85.725000,-46.831250,270.000000,bottom
"D8","BAV70","SOT-23",90.487500,-65.881250,270.000000,bottom
"D9","BAV70","SOT-23",80.962500,-84.931250,270.000000,bottom
"D10","BAV70","SOT-23",90.643750,-103.775000,270.000000,bottom
"D11","BAV70","SOT-23",114.300000,-27.781250,270.000000,bottom
"D12","BAV70","SOT-23",123.825000,-46.831250,270.000000,bottom
"D13","BAV70","SOT-23",128.587500,-65.881250,270.000000,bottom
"D14","BAV70","SOT-23",119.062500,-84.725000,270.000000,bottom
"D15","BAV70","SOT-23",152.400000,-27.781250,270.000000,bottom
"D16","BAV70","SOT-23",161.925000,-46.831250,270.000000,bottom
"D17","BAV70","SOT-23",166.687500,-65.881250,270.000000,bottom
"D18","BAV70","SOT-23",157.162500,-84.931250,270.000000,bottom
"D19","BAV70","SOT-23",162.718750,-103.981250,270.000000,bottom
"D20","BAV70","SOT-23",190.500000,-27.781250,270.000000,bottom
"D21","BAV70","SOT-23",200.025000,-46.831250,270.000000,bottom
"D22","BAV70","SOT-23",204.787500,-65.881250,270.000000,bottom
"D23","BAV70","SOT-23",195.262500,-84.931250,270.000000,bottom
"D24","BAV70","SOT-23",228.600000,-27.781250,270.000000,bottom
"D25","BAV70","SOT-23",238.125000,-46.831250,270.000000,bottom
"D26","BAV70","SOT-23",242.887500,-65.881250,270.000000,bottom
"D27","BAV70","SOT-23",233.362500,-84.931250,270.000000,bottom
"D28","BAV70","SOT-23",233.362500,-103.981250,270.000000,bottom
"D30","BAV70","SOT-23",266.700000,-27.781250,270.000000,bottom
"D31","BAV70","SOT-23",278.606250,-46.831250,270.000000,bottom
"D32","BAV70","SOT-23",263.525000,-65.881250,270.000000,bottom
"D33","BAV70","SOT-23",285.750000,-83.343750,270.000000,bottom
"D34","BAV70","SOT-23",287.337500,-103.981250,270.000000,bottom
"J1","Sensor Connector","Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal",344.487500,-42.068750,270.000000,bottom
"R1","4.7k","R_0805_2012Metric",340.715600,-53.797200,180.000000,bottom
"R2","4.7k","R_0805_2012Metric",340.715600,-51.054000,180.000000,bottom
