Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,BAV70,SOT-23,38.1,-27.78125,270,bottom
D2,BAV70,SOT-23,45.24375,-46.83125,270,bottom
D3,BAV70,SOT-23,49.2125,-65.88125,270,bottom
D4,BAV70,SOT-23,61.9125,-84.93125,270,bottom
D5,BAV70,SOT-23,42.8625,-103.98125,270,bottom
D6,BAV70,SOT-23,76.2,-27.78125,270,bottom
D7,BAV70,SOT-23,85.725,-46.83125,270,bottom
D8,BAV70,SOT-23,90.4875,-65.88125,270,bottom
D9,BAV70,SOT-23,80.9625,-84.93125,270,bottom
D10,BAV70,SOT-23,90.64375,-103.775,270,bottom
D11,BAV70,SOT-23,114.3,-27.78125,270,bottom
D12,BAV70,SOT-23,123.825,-46.83125,270,bottom
D13,BAV70,SOT-23,128.5875,-65.88125,270,bottom
D14,BAV70,SOT-23,119.0625,-84.725,270,bottom
D15,BAV70,SOT-23,152.4,-27.78125,270,bottom
D16,BAV70,SOT-23,161.925,-46.83125,270,bottom
D17,BAV70,SOT-23,166.6875,-65.88125,270,bottom
D18,BAV70,SOT-23,157.1625,-84.93125,270,bottom
D19,BAV70,SOT-23,162.71875,-103.98125,270,bottom
D20,BAV70,SOT-23,190.5,-27.78125,270,bottom
D21,BAV70,SOT-23,200.025,-46.83125,270,bottom
D22,BAV70,SOT-23,204.7875,-65.88125,270,bottom
D23,BAV70,SOT-23,195.2625,-84.93125,270,bottom
D24,BAV70,SOT-23,228.6,-27.78125,270,bottom
D25,BAV70,SOT-23,238.125,-46.83125,270,bottom
D26,BAV70,SOT-23,242.8875,-65.88125,270,bottom
D27,BAV70,SOT-23,233.3625,-84.93125,270,bottom
D28,BAV70,SOT-23,233.3625,-103.98125,270,bottom
D30,BAV70,SOT-23,266.7,-27.78125,270,bottom
D31,BAV70,SOT-23,278.60625,-46.83125,270,bottom
D32,BAV70,SOT-23,263.525,-65.88125,270,bottom
D33,BAV70,SOT-23,285.75,-83.34375,270,bottom
D34,BAV70,SOT-23,287.3375,-103.98125,270,bottom
J1,Sensor Connector,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,344.4875,-42.06875,270,bottom
R1,4.7k,R_0805_2012Metric,340.7156,-53.7972,180,bottom
R2,4.7k,R_0805_2012Metric,340.7156,-51.054,180,bottom
SW1,SW_SPDT,Slide_Switch_SPDT_ThroughHole,346.86875,-19.84375,0,bottom
